Index_disease	Index_disease_id	Associated_disease	Associated_disease_id	Co-mentions
Lymphoma	MESH:D008223	Pregnancy Complications, Hematologic	MESH:D011250	5
Lymphoma	MESH:D008223	Amyloidosis, Familial	MESH:D028226	5
Lymphoma	MESH:D008223	Arachnoiditis	MESH:D001100	5
Lymphoma	MESH:D008223	Spondylosis	MESH:D055009	5
Lymphoma	MESH:D008223	Neoplasms, Connective Tissue	MESH:D009372	5
Lymphoma	MESH:D008223	Laryngitis	MESH:D007827	5
Lymphoma	MESH:D008223	Rectal Prolapse	MESH:D012005	5
Lymphoma	MESH:D008223	Cystadenocarcinoma	MESH:D003536	5
Lymphoma	MESH:D008223	Axenfeld-Rieger syndrome	MESH:C535679	5
Lymphoma	MESH:D008223	Popliteal Cyst	MESH:D011151	5
Lymphoma	MESH:D008223	Anorexia Nervosa	MESH:D000856	5
Lymphoma	MESH:D008223	Tick Infestations	MESH:D013984	5
Lymphoma	MESH:D008223	Urinary Bladder Fistula	MESH:D001747	5
Lymphoma	MESH:D008223	Hyperamylasemia	MESH:D034321	5
Lymphoma	MESH:D008223	Conjunctivitis, Allergic	MESH:D003233	5
Lymphoma	MESH:D008223	Phagocyte Bactericidal Dysfunction	MESH:D010585	5
Lymphoma	MESH:D008223	Ethmoid Sinusitis	MESH:D015521	5
Lymphoma	MESH:D008223	Adrenal Cortex Neoplasms	MESH:D000306	5
Lymphoma	MESH:D008223	Luteoma	MESH:D018311	5
Lymphoma	MESH:D008223		OMIM:270100	5
Lymphoma	MESH:D008223	Mycobacterium Infections	MESH:D009164	5
Lymphoma	MESH:D008223	Adrenoleukodystrophy	MESH:D000326	5
Lymphoma	MESH:D008223	T-Lymphocytopenia	MESH:C536783	5
Lymphoma	MESH:D008223	Ophthalmoplegia, Chronic Progressive External	MESH:D017246	5
Lymphoma	MESH:D008223	Sacral defect and anterior sacral meningocele	MESH:C537221	5
Lymphoma	MESH:D008223	Chromosome 1, monosomy 1p	MESH:C535591	5
Lymphoma	MESH:D008223	Struma Ovarii	MESH:D013330	5
Lymphoma	MESH:D008223	Sertoli-Leydig Cell Tumor	MESH:D018310	5
Lymphoma	MESH:D008223		OMIM:235000	5
Lymphoma	MESH:D008223		MESH:C537045	5
Lymphoma	MESH:D008223	Stomatitis, Herpetic	MESH:D013283	5
Lymphoma	MESH:D008223	Keratosis	MESH:D007642	5
Lymphoma	MESH:D008223	Carcinoma, Islet Cell	MESH:D018273	5
Lymphoma	MESH:D008223	Stewart Treves syndrome	MESH:C537491	5
Lymphoma	MESH:D008223	Urologic Diseases	MESH:D014570	5
Multiple Myeloma	MESH:D009101	Wounds, Nonpenetrating	MESH:D014949	5
Multiple Myeloma	MESH:D009101	Glucose Metabolism Disorders	MESH:D044882	5
Multiple Myeloma	MESH:D009101	Osteoarthritis, Knee	MESH:D020370	5
Multiple Myeloma	MESH:D009101		OMIM:612263	5
Multiple Myeloma	MESH:D009101	Parotid Neoplasms	MESH:D010307	5
Multiple Myeloma	MESH:D009101	Histiocytosis, Sinus	MESH:D015618	5
Multiple Myeloma	MESH:D009101	Retroperitoneal Fibrosis	MESH:D012185	5
Multiple Myeloma	MESH:D009101	Flank Pain	MESH:D021501	5
Multiple Myeloma	MESH:D009101	Diabetes Insipidus	MESH:D003919	5
Multiple Myeloma	MESH:D009101	Prieto X-linked mental retardation syndrome	MESH:C535274	5
Multiple Myeloma	MESH:D009101	Fibular hypoplasia and complex brachydactyly	MESH:C537931	5
Multiple Myeloma	MESH:D009101	Acute Coronary Syndrome	MESH:D054058	5
Multiple Myeloma	MESH:D009101	Heart Injuries	MESH:D006335	5
Multiple Myeloma	MESH:D009101	Androgen-Insensitivity Syndrome	MESH:D013734	5
Multiple Myeloma	MESH:D009101	Leishmaniasis	MESH:D007896	5
Multiple Myeloma	MESH:D009101	Leukocyte Disorders	MESH:D007960	5
Multiple Myeloma	MESH:D009101	Platybasia	MESH:D010985	5
Multiple Myeloma	MESH:D009101	Migraine Disorders	MESH:D008881	5
Multiple Myeloma	MESH:D009101		OMIM:610102	5
Multiple Myeloma	MESH:D009101	Consciousness Disorders	MESH:D003244	5
Multiple Myeloma	MESH:D009101	Tachycardia, Supraventricular	MESH:D013617	5
Multiple Myeloma	MESH:D009101	Heart Valve Diseases	MESH:D006349	5
Multiple Myeloma	MESH:D009101	Leukemoid Reaction	MESH:D007955	5
Multiple Myeloma	MESH:D009101	Reflex, Abnormal	MESH:D012021	5
Multiple Myeloma	MESH:D009101	Episodic Ataxia, Type 2	MESH:C535506	5
Multiple Myeloma	MESH:D009101	Gingival Diseases	MESH:D005882	5
Multiple Myeloma	MESH:D009101	Focal Epithelial Hyperplasia	MESH:D017573	5
Multiple Myeloma	MESH:D009101	Neonatal hemochromatosis	MESH:C536394	5
Multiple Myeloma	MESH:D009101	Maxillary Fractures	MESH:D008440	5
Multiple Myeloma	MESH:D009101	Common Variable Immunodeficiency	MESH:D017074	5
Multiple Myeloma	MESH:D009101	Anaphylaxis	MESH:D000707	5
Multiple Myeloma	MESH:D009101	Weight Gain	MESH:D015430	5
Multiple Myeloma	MESH:D009101	Hematoma, Epidural, Cranial	MESH:D006407	5
Multiple Myeloma	MESH:D009101	Coronary Stenosis	MESH:D023921	5
Multiple Myeloma	MESH:D009101	Reflex Sympathetic Dystrophy	MESH:D012019	5
Multiple Myeloma	MESH:D009101	Tibial Neuropathy	MESH:D020429	5
Multiple Myeloma	MESH:D009101	von Willebrand Disease, Type 1	MESH:D056725	5
Multiple Myeloma	MESH:D009101	Stiff-Person Syndrome	MESH:D016750	5
Multiple Myeloma	MESH:D009101	Hypoproteinemia	MESH:D007019	5
Multiple Myeloma	MESH:D009101	Respiratory Tract Diseases	MESH:D012140	5
Multiple Myeloma	MESH:D009101	Stevens-Johnson Syndrome	MESH:D013262	5
Multiple Myeloma	MESH:D009101	Venous Insufficiency	MESH:D014689	5
Multiple Myeloma	MESH:D009101	Duodenal Neoplasms	MESH:D004379	5
Multiple Myeloma	MESH:D009101	Paraneoplastic Syndromes, Ocular	MESH:D059545	5
Multiple Myeloma	MESH:D009101	Ependymoma	MESH:D004806	5
Multiple Myeloma	MESH:D009101	Status Asthmaticus	MESH:D013224	5
Multiple Myeloma	MESH:D009101	Polyostotic osteolytic dysplasia, hereditary expansile	MESH:C536335	5
Multiple Myeloma	MESH:D009101	Exostoses, Multiple Hereditary	MESH:D005097	5
Multiple Myeloma	MESH:D009101	Osteoarthritis, Spine	MESH:D055013	5
Multiple Myeloma	MESH:D009101	Macular Edema	MESH:D008269	5
Multiple Myeloma	MESH:D009101	Retinitis	MESH:D012173	5
Multiple Myeloma	MESH:D009101	Psoas Abscess	MESH:D016659	5
Multiple Myeloma	MESH:D009101	Pregnancy Complications, Hematologic	MESH:D011250	5
Multiple Myeloma	MESH:D009101	Arrhythmia, Sinus	MESH:D001146	5
Multiple Myeloma	MESH:D009101	Ventricular Dysfunction	MESH:D018754	5
Multiple Myeloma	MESH:D009101	Mucinoses	MESH:D017520	5
Multiple Myeloma	MESH:D009101	Syndactyly	MESH:D013576	5
Multiple Myeloma	MESH:D009101	Glutaric Acidemia I	MESH:C536833	5
Multiple Myeloma	MESH:D009101	Atrial Flutter	MESH:D001282	5
Multiple Myeloma	MESH:D009101	Pneumonia, Mycoplasma	MESH:D011019	5
Multiple Myeloma	MESH:D009101	Encephalocele	MESH:D004677	5
Multiple Myeloma	MESH:D009101	Vascular Malformations	MESH:D054079	5
Multiple Myeloma	MESH:D009101	Fibroma	MESH:D005350	5
Multiple Myeloma	MESH:D009101	Sick Sinus Syndrome	MESH:D012804	5
Multiple Myeloma	MESH:D009101		MESH:C541083	5
Multiple Myeloma	MESH:D009101	Bipolar Disorder	MESH:D001714	5
Multiple Myeloma	MESH:D009101	Psychotic Disorders	MESH:D011618	5
Multiple Myeloma	MESH:D009101	Pharyngitis	MESH:D010612	5
Multiple Myeloma	MESH:D009101	Neoplasms, Squamous Cell	MESH:D018307	5
Multiple Myeloma	MESH:D009101	Urinary Incontinence	MESH:D014549	5
Multiple Myeloma	MESH:D009101	Pulmonary Atelectasis	MESH:D001261	5
Multiple Myeloma	MESH:D009101	Hearing Loss, Bilateral	MESH:D006312	5
Multiple Myeloma	MESH:D009101	Cerebral Amyloid Angiopathy, Familial	MESH:D028243	5
Multiple Myeloma	MESH:D009101	Euthyroid Sick Syndromes	MESH:D005067	5
Multiple Myeloma	MESH:D009101	Hyperlipoproteinemia Type II	MESH:D006938	5
Multiple Myeloma	MESH:D009101	Infratentorial Neoplasms	MESH:D015192	5
Multiple Myeloma	MESH:D009101		MESH:C535575	5
Multiple Myeloma	MESH:D009101	Oral Ulcer	MESH:D019226	5
Multiple Myeloma	MESH:D009101	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	MESH:C536329	5
Multiple Myeloma	MESH:D009101	Van der Woude syndrome	MESH:C536528	5
Multiple Myeloma	MESH:D009101	Intracranial Hypertension	MESH:D019586	5
Multiple Myeloma	MESH:D009101	Endometrial Hyperplasia	MESH:D004714	5
Multiple Myeloma	MESH:D009101	Neuromuscular Diseases	MESH:D009468	5
Multiple Myeloma	MESH:D009101	Emergencies	MESH:D004630	5
Multiple Myeloma	MESH:D009101		OMIM:613158	5
Multiple Myeloma	MESH:D009101		OMIM:609469	5
Multiple Myeloma	MESH:D009101	Intestinal Diseases	MESH:D007410	5
Multiple Myeloma	MESH:D009101	Scleritis	MESH:D015423	5
Multiple Myeloma	MESH:D009101	Intervertebral disc disease	MESH:C535531	5
Multiple Myeloma	MESH:D009101	Coronary Vasospasm	MESH:D003329	5
Multiple Myeloma	MESH:D009101	Intermittent Claudication	MESH:D007383	5
Multiple Myeloma	MESH:D009101	Meningitis, Meningococcal	MESH:D008585	5
Multiple Myeloma	MESH:D009101	Fluorosis, Dental	MESH:D009050	5
Multiple Myeloma	MESH:D009101	Neoplasms, Connective Tissue	MESH:D009372	5
Multiple Myeloma	MESH:D009101	Ventricular Dysfunction, Right	MESH:D018497	5
Multiple Myeloma	MESH:D009101		MESH:C531767	5
Multiple Myeloma	MESH:D009101	Esophagitis	MESH:D004941	5
Multiple Myeloma	MESH:D009101	Digestive System Diseases	MESH:D004066	5
Multiple Myeloma	MESH:D009101	Sotos Syndrome	MESH:D058495	5
Multiple Myeloma	MESH:D009101	Vitamin A Deficiency	MESH:D014802	5
Multiple Myeloma	MESH:D009101	Liver Cirrhosis, Alcoholic	MESH:D008104	5
Multiple Myeloma	MESH:D009101	Adenomatous Polyps	MESH:D018256	5
Multiple Myeloma	MESH:D009101	Gastroenteritis	MESH:D005759	5
Multiple Myeloma	MESH:D009101	Thrombophlebitis	MESH:D013924	5
Multiple Myeloma	MESH:D009101	Peliosis Hepatis	MESH:D010382	5
Multiple Myeloma	MESH:D009101	Nephrolithiasis	MESH:D053040	5
Multiple Myeloma	MESH:D009101	Genital Diseases, Female	MESH:D005831	5
Multiple Myeloma	MESH:D009101	Adams Oliver syndrome	MESH:C538225	5
Multiple Myeloma	MESH:D009101		MESH:C538659	5
Multiple Myeloma	MESH:D009101	Airway Remodeling	MESH:D056151	5
Multiple Myeloma	MESH:D009101	Uterine Cervical Dysplasia	MESH:D002578	5
Multiple Myeloma	MESH:D009101	Spinal Neoplasms	MESH:D013125	5
Multiple Myeloma	MESH:D009101	Keratosis	MESH:D007642	5
Multiple Myeloma	MESH:D009101	Sigmoid Diseases	MESH:D012810	5
Multiple Myeloma	MESH:D009101	Nephrosclerosis	MESH:D009400	5
Multiple Myeloma	MESH:D009101	Iris Diseases	MESH:D007499	5
Multiple Myeloma	MESH:D009101		MESH:D004816	5
Multiple Myeloma	MESH:D009101	Maxillofacial Abnormalities	MESH:D019767	5
Multiple Myeloma	MESH:D009101	Alkalosis, Respiratory	MESH:D000472	5
Multiple Myeloma	MESH:D009101	Ureteral Obstruction	MESH:D014517	5
Multiple Myeloma	MESH:D009101	Ameloblastoma	MESH:D000564	5
Multiple Myeloma	MESH:D009101	Ectropion	MESH:D004483	5
Multiple Myeloma	MESH:D009101	Fungemia	MESH:D016469	5
Multiple Myeloma	MESH:D009101	Renal Tubular Transport, Inborn Errors	MESH:D015499	5
Multiple Myeloma	MESH:D009101	Schnitzler Syndrome	MESH:D019873	5
Multiple Myeloma	MESH:D009101	Graves Disease	MESH:D006111	5
Multiple Myeloma	MESH:D009101	Metaplasia	MESH:D008679	5
Multiple Myeloma	MESH:D009101	Corneal Dystrophy, Crystalline, of Schnyder	MESH:C535475	5
Multiple Myeloma	MESH:D009101	Purpura, Schoenlein-Henoch	MESH:D011695	5
Multiple Myeloma	MESH:D009101	Leg Ulcer	MESH:D007871	5
Multiple Myeloma	MESH:D009101	Antiphospholipid Syndrome	MESH:D016736	5
Multiple Myeloma	MESH:D009101	Fractures, Cartilage	MESH:D050724	5
Multiple Myeloma	MESH:D009101	Ulna Fractures	MESH:D014458	5
Multiple Myeloma	MESH:D009101	Fibroma, Ossifying	MESH:D018214	5
Multiple Myeloma	MESH:D009101	Folliculitis	MESH:D005499	5
Multiple Myeloma	MESH:D009101	Dwarfism	MESH:D004392	5
Multiple Myeloma	MESH:D009101	Myelocytic leukemia-like syndrome, familial, chronic	MESH:C536093	5
Multiple Myeloma	MESH:D009101	Discitis	MESH:D015299	5
Multiple Myeloma	MESH:D009101	Aortic Aneurysm	MESH:D001014	5
Multiple Myeloma	MESH:D009101	Hydronephrosis	MESH:D006869	5
Multiple Myeloma	MESH:D009101	Hyperpigmentation	MESH:D017495	5
Multiple Myeloma	MESH:D009101	Leukemia, Prolymphocytic, B-Cell	MESH:D054403	5
Multiple Myeloma	MESH:D009101	Porencephaly cerebellar hypoplasia malformations	MESH:C536336	5
Multiple Myeloma	MESH:D009101	Anemia, Refractory, with Excess of Blasts	MESH:D000754	5
Multiple Myeloma	MESH:D009101	Dermoid Cyst	MESH:D003884	5
Multiple Myeloma	MESH:D009101	Phlebitis	MESH:D010689	5
Multiple Myeloma	MESH:D009101	Endocrine Gland Neoplasms	MESH:D004701	5
Multiple Myeloma	MESH:D009101	Erythema elevatum diutinum	MESH:C535509	5
Multiple Myeloma	MESH:D009101	Keratosis, Seborrheic	MESH:D017492	5
Multiple Myeloma	MESH:D009101	Urinary Bladder Neck Obstruction	MESH:D001748	5
Multiple Myeloma	MESH:D009101	Composite Lymphoma	MESH:D058617	5
Multiple Myeloma	MESH:D009101	Osteoma	MESH:D010016	5
Multiple Myeloma	MESH:D009101	Rheumatoid Vasculitis	MESH:D056653	5
Multiple Myeloma	MESH:D009101	Melanoma, Experimental	MESH:D008546	5
Multiple Myeloma	MESH:D009101	Tooth Demineralization	MESH:D017001	5
Multiple Myeloma	MESH:D009101	Leukemia, Radiation-Induced	MESH:D007953	5
Multiple Myeloma	MESH:D009101	Felty Syndrome	MESH:D005258	5
Multiple Myeloma	MESH:D009101	Renal Artery Obstruction	MESH:D012078	5
Multiple Myeloma	MESH:D009101	Hyperlipoproteinemias	MESH:D006951	5
Leukemia	MESH:D007938		OMIM:226730	4
Leukemia	MESH:D007938		OMIM:123790	4
Leukemia	MESH:D007938		OMIM:180920	4
Leukemia	MESH:D007938	Aarskog Syndrome	MESH:C535331	4
Leukemia	MESH:D007938	Gestational Diabetes Insipidus	MESH:C548014	4
Leukemia	MESH:D007938	Headache Disorders, Primary	MESH:D051270	4
Leukemia	MESH:D007938	Sarcopenia	MESH:D055948	4
Leukemia	MESH:D007938	Schistosomiasis mansoni	MESH:D012555	4
Leukemia	MESH:D007938	Waardenburg Syndrome	MESH:D014849	4
Leukemia	MESH:D007938	Propionic Acidemia	MESH:D056693	4
Leukemia	MESH:D007938	Scleral Diseases	MESH:D015422	4
Leukemia	MESH:D007938	Smooth Muscle Tumor	MESH:D018235	4
Leukemia	MESH:D007938	Aortic Valve Insufficiency	MESH:D001022	4
Leukemia	MESH:D007938	Protoporphyria, Erythropoietic	MESH:D046351	4
Leukemia	MESH:D007938	Rapp-Hodgkin syndrome	MESH:C535289	4
Leukemia	MESH:D007938	Wernicke Encephalopathy	MESH:D014899	4
Leukemia	MESH:D007938	Carpal Tunnel Syndrome	MESH:D002349	4
Leukemia	MESH:D007938		OMIM:255125	4
Leukemia	MESH:D007938	Massive Hepatic Necrosis	MESH:D047508	4
Leukemia	MESH:D007938	Retroperitoneal Neoplasms	MESH:D012186	4
Leukemia	MESH:D007938		OMIM:613038	4
Leukemia	MESH:D007938	Tooth Mobility	MESH:D014086	4
Leukemia	MESH:D007938	Giant Axonal Neuropathy	MESH:D056768	4
Leukemia	MESH:D007938	Hyperoxia	MESH:D018496	4
Leukemia	MESH:D007938	Pelvic Inflammatory Disease	MESH:D000292	4
Leukemia	MESH:D007938	Consciousness Disorders	MESH:D003244	4
Leukemia	MESH:D007938	Pemphigoid, Benign Mucous Membrane	MESH:D010390	4
Leukemia	MESH:D007938	Ossification of Posterior Longitudinal Ligament	MESH:D017887	4
Leukemia	MESH:D007938	Body Dysmorphic Disorders	MESH:D057215	4
Leukemia	MESH:D007938	Bundle-Branch Block	MESH:D002037	4
Leukemia	MESH:D007938	Epididymitis	MESH:D004823	4
Leukemia	MESH:D007938		OMIM:135700	4
Leukemia	MESH:D007938	Heart Failure, Diastolic	MESH:D054144	4
Leukemia	MESH:D007938	Osteoporotic Fractures	MESH:D058866	4
Leukemia	MESH:D007938	Dermatitis, Seborrheic	MESH:D012628	4
Leukemia	MESH:D007938	Dysentery, Amebic	MESH:D004404	4
Leukemia	MESH:D007938	Pallister W syndrome	MESH:C538106	4
Leukemia	MESH:D007938	Dog Diseases	MESH:D004283	4
Leukemia	MESH:D007938		OMIM:184095	4
Leukemia	MESH:D007938	Lacrimal Duct Obstruction	MESH:D007767	4
Leukemia	MESH:D007938	Meningocele	MESH:D008588	4
Leukemia	MESH:D007938	Dental Enamel Hypoplasia	MESH:D003744	4
Leukemia	MESH:D007938	Tooth Demineralization	MESH:D017001	4
Leukemia	MESH:D007938	Lipodystrophy	MESH:D008060	4
Leukemia	MESH:D007938		OMIM:609153	4
Leukemia	MESH:D007938	Sialic Acid Storage Disease	MESH:D029461	4
Leukemia	MESH:D007938	Lambert-Eaton Myasthenic Syndrome	MESH:D015624	4
Leukemia	MESH:D007938	Condylomata Acuminata	MESH:D003218	4
Leukemia	MESH:D007938	Radiation induced meningioma	MESH:C536266	4
Leukemia	MESH:D007938	Post-Dural Puncture Headache	MESH:D051299	4
Leukemia	MESH:D007938	Psoas Abscess	MESH:D016659	4
Leukemia	MESH:D007938	Cardiac Complexes, Premature	MESH:D005117	4
Leukemia	MESH:D007938	Cattle Diseases	MESH:D002418	4
Leukemia	MESH:D007938	Myoclonus	MESH:D009207	4
Leukemia	MESH:D007938	Raine syndrome	MESH:C535282	4
Leukemia	MESH:D007938		OMIM:300245	4
Leukemia	MESH:D007938	Guillain-Barre Syndrome	MESH:D020275	4
Leukemia	MESH:D007938	Copper deficiency, familial benign	MESH:C535468	4
Leukemia	MESH:D007938	Cartilage Diseases	MESH:D002357	4
Leukemia	MESH:D007938		MESH:C536037	4
Leukemia	MESH:D007938	Fetal Distress	MESH:D005316	4
Leukemia	MESH:D007938		OMIM:609136	4
Leukemia	MESH:D007938	Schinzel-Giedion syndrome	MESH:C536632	4
Leukemia	MESH:D007938	Liver Diseases, Alcoholic	MESH:D008108	4
Leukemia	MESH:D007938	Cat Diseases	MESH:D002371	4
Leukemia	MESH:D007938	Keratosis, Actinic	MESH:D055623	4
Leukemia	MESH:D007938	Leishmaniasis, Cutaneous	MESH:D016773	4
Leukemia	MESH:D007938	Maxillofacial Abnormalities	MESH:D019767	4
Leukemia	MESH:D007938	Mohr-Tranebjaerg syndrome	MESH:C535808	4
Leukemia	MESH:D007938	Encephalitis, Japanese	MESH:D004672	4
Leukemia	MESH:D007938	Yellow Fever	MESH:D015004	4
Leukemia	MESH:D007938	Spondylitis	MESH:D013166	4
Leukemia	MESH:D007938	Candidiasis, Vulvovaginal	MESH:D002181	4
Leukemia	MESH:D007938	Chronic recurrent multifocal osteomyelitis	MESH:C535456	4
Leukemia	MESH:D007938	Hydroa Vacciniforme	MESH:D006837	4
Leukemia	MESH:D007938	Negative rheumatoid factor polyarthritis	MESH:C538347	4
Leukemia	MESH:D007938	Hypovolemia	MESH:D020896	4
Leukemia	MESH:D007938	Immunoproliferative Disorders	MESH:D007160	4
Leukemia	MESH:D007938	Ring Chromosomes	MESH:D012303	4
Leukemia	MESH:D007938	Mandibular Neoplasms	MESH:D008339	4
Leukemia	MESH:D007938	Congenital facial diplegia	MESH:C531747	4
Leukemia	MESH:D007938	Ventricular Fibrillation	MESH:D014693	4
Leukemia	MESH:D007938	Facial Injuries	MESH:D005151	4
Leukemia	MESH:D007938	Sarcoma, Small Cell	MESH:D018228	4
Leukemia	MESH:D007938	Lysosomal acid lipase deficiency	MESH:C531854	4
Leukemia	MESH:D007938	Malformations of Cortical Development	MESH:D054220	4
Leukemia	MESH:D007938	Glutamine deficiency, congenital	MESH:C536832	4
Leukemia	MESH:D007938	Chilblain lupus 1	MESH:C535924	4
Leukemia	MESH:D007938	Tuberculosis, Splenic	MESH:D014400	4
Leukemia	MESH:D007938	Keratosis, Seborrheic	MESH:D017492	4
Leukemia	MESH:D007938		OMIM:613641	4
Leukemia	MESH:D007938	Systolic Murmurs	MESH:D054160	4
Leukemia	MESH:D007938	Vacuolar myopathy	MESH:C536522	4
Leukemia	MESH:D007938	Pelvic Floor Disorders	MESH:D059952	4
Leukemia	MESH:D007938		OMIM:606711	4
Leukemia	MESH:D007938	Vaginal Discharge	MESH:D019522	4
Leukemia	MESH:D007938	Optic Neuropathy, Ischemic	MESH:D018917	4
Leukemia	MESH:D007938	Radiation induced angiosarcoma of the breast	MESH:C536264	4
Leukemia	MESH:D007938	Dendritic Cell Sarcoma, Interdigitating	MESH:D054739	4
Leukemia	MESH:D007938	Microcephaly deafness syndrome	MESH:C537326	4
Leukemia	MESH:D007938	Tracheal Neoplasms	MESH:D014134	4
Leukemia	MESH:D007938	Cryoglobulinemia	MESH:D003449	4
Leukemia	MESH:D007938	Tolosa-Hunt Syndrome	MESH:D020333	4
Leukemia	MESH:D007938	Melkersson-Rosenthal Syndrome	MESH:D008556	4
Leukemia	MESH:D007938	Adrenal Cortex Diseases	MESH:D000303	4
Leukemia	MESH:D007938	Scleritis	MESH:D015423	4
Leukemia	MESH:D007938	Glaucoma, Angle-Closure	MESH:D015812	4
Leukemia	MESH:D007938	Esophageal Stenosis	MESH:D004940	4
Leukemia	MESH:D007938	Dysgeusia	MESH:D004408	4
Leukemia	MESH:D007938	Retrograde Degeneration	MESH:D012183	4
Leukemia	MESH:D007938	Hypertrophy, Right Ventricular	MESH:D017380	4
Leukemia	MESH:D007938	Chlamydia Infections	MESH:D002690	4
Leukemia	MESH:D007938	Retroperitoneal Fibrosis	MESH:D012185	4
Leukemia	MESH:D007938	Hypophosphatasia	MESH:D007014	4
Leukemia	MESH:D007938	Papillon-Lefevre Disease	MESH:D010214	4
Leukemia	MESH:D007938	Lupus Erythematosus, Cutaneous	MESH:D008178	4
Leukemia	MESH:D007938	Hydrothorax	MESH:D006876	4
Leukemia	MESH:D007938	Brachial Plexus Neuropathies	MESH:D020516	4
Leukemia	MESH:D007938	Paraneoplastic Polyneuropathy	MESH:D020364	4
Leukemia	MESH:D007938	Cerebrovascular Trauma	MESH:D020214	4
Leukemia	MESH:D007938	Panic Disorder	MESH:D016584	4
Leukemia	MESH:D007938	Aortic Valve Stenosis	MESH:D001024	4
Leukemia	MESH:D007938	Laryngitis	MESH:D007827	4
Leukemia	MESH:D007938	Diabetic Neuropathies	MESH:D003929	4
Leukemia	MESH:D007938	Hallucinations	MESH:D006212	4
Leukemia	MESH:D007938	Endolymphatic Hydrops	MESH:D018159	4
Leukemia	MESH:D007938	Polychondritis, Relapsing	MESH:D011081	4
Leukemia	MESH:D007938	Nociceptive Pain	MESH:D059226	4
Leukemia	MESH:D007938	Corneal Ulcer	MESH:D003320	4
Leukemia	MESH:D007938	Blood Protein Disorders	MESH:D001796	4
Leukemia	MESH:D007938	Facies	MESH:D019066	4
Leukemia	MESH:D007938	Ventricular Septal Rupture	MESH:D018658	4
Leukemia	MESH:D007938		OMIM:165800	4
Leukemia	MESH:D007938	Eyelid Neoplasms	MESH:D005142	4
Leukemia	MESH:D007938	Arachnoiditis	MESH:D001100	4
Leukemia	MESH:D007938	Cutaneous Fistula	MESH:D017577	4
Leukemia	MESH:D007938	Thyroiditis, Autoimmune	MESH:D013967	4
Leukemia	MESH:D007938	Urinary Bladder Calculi	MESH:D001744	4
Leukemia	MESH:D007938	Ventricular Dysfunction	MESH:D018754	4
Leukemia	MESH:D007938		OMIM:267700	4
Leukemia	MESH:D007938	Sleep Apnea, Obstructive	MESH:D020181	4
Leukemia	MESH:D007938	Dosage-sensitive sex reversal	MESH:C535601	4
Leukemia	MESH:D007938		OMIM:191181	4
Leukemia	MESH:D007938	Biliary Atresia	MESH:D001656	4
Leukemia	MESH:D007938	Uterine Diseases	MESH:D014591	4
Leukemia	MESH:D007938	Shock, Cardiogenic	MESH:D012770	4
Leukemia	MESH:D007938	Ectropion	MESH:D004483	4
Leukemia	MESH:D007938	Osteoporosis, Postmenopausal	MESH:D015663	4
Leukemia	MESH:D007938		OMIM:262890	4
Leukemia	MESH:D007938	Myelitis	MESH:D009187	4
Leukemia	MESH:D007938	Mediastinal Emphysema	MESH:D008478	4
Leukemia	MESH:D007938	Epidural Abscess	MESH:D020802	4
Leukemia	MESH:D007938	Otitis Media with Effusion	MESH:D010034	4
Leukemia	MESH:D007938	Tyrosinemias	MESH:D020176	4
Leukemia	MESH:D007938	Tobacco Use Disorder	MESH:D014029	4
Leukemia	MESH:D007938	Mucopolysaccharidosis I	MESH:D008059	4
Leukemia	MESH:D007938	Motor Skills Disorders	MESH:D019957	4
Leukemia	MESH:D007938	Eye Infections, Parasitic	MESH:D015822	4
Leukemia	MESH:D007938	Obesity, Morbid	MESH:D009767	4
Leukemia	MESH:D007938	Menopause, Premature	MESH:D008594	4
Leukemia	MESH:D007938	Geotrichosis	MESH:D005847	4
Leukemia	MESH:D007938	Melanoma, Amelanotic	MESH:D018328	4
Leukemia	MESH:D007938	Hematoma, Epidural, Cranial	MESH:D006407	4
Leukemia	MESH:D007938	Chondroma	MESH:D002812	4
Leukemia	MESH:D007938	Subdural Effusion	MESH:D013353	4
Leukemia	MESH:D007938	Rheumatic Fever	MESH:D012213	4
Leukemia	MESH:D007938	Hyperphagia	MESH:D006963	4
Leukemia	MESH:D007938	Urinary Calculi	MESH:D014545	4
Leukemia	MESH:D007938	Deficiency Diseases	MESH:D003677	4
Leukemia	MESH:D007938	Charcot-Marie-Tooth Disease	MESH:D002607	4
Leukemia	MESH:D007938	Hearing Loss, Conductive	MESH:D006314	4
Leukemia	MESH:D007938	Chromosome Breakage	MESH:D019457	4
Leukemia	MESH:D007938	Flaviviridae Infections	MESH:D018178	4
Leukemia	MESH:D007938	Depression, Postpartum	MESH:D019052	4
Leukemia	MESH:D007938	Trigeminal Neuralgia	MESH:D014277	4
Leukemia	MESH:D007938	Polyhydramnios	MESH:D006831	4
Leukemia	MESH:D007938	Acantholysis	MESH:D000051	4
Leukemia	MESH:D007938	Darier Disease	MESH:D007644	4
Leukemia	MESH:D007938	Hemangiopericytoma	MESH:D006393	4
Leukemia	MESH:D007938	Nasal Polyps	MESH:D009298	4
Leukemia	MESH:D007938	Carcinoma, Basosquamous	MESH:D002281	4
Leukemia	MESH:D007938	Bile Duct Diseases	MESH:D001649	4
Leukemia	MESH:D007938	Uniparental disomy of chromosome 2	MESH:C536470	4
Leukemia	MESH:D007938	Lymphangiectasia, pulmonary, congenital	MESH:C537727	4
